DJC_ID_DIM_SUJETO,DJC_ID_DIM_PERIODO_CUOTA,DJC_ROL,BI_CBA,BI_IVA,DJC_M_BASE_IMPONIBLE_CBA,DJC_M_IMPUESTO_DETERMINADO,DJC_M_PERCEPCIONES,DJC_M_PERCEPCIONES_ADUANERAS,DJC_M_RECAUDACIONES,DJC_M_RETENCIONES,DJC_M_SALDO_A_PAGAR_DDJJ,DJC_M_SALDO_FAVOR_CONTRIBUYENTE,DJC_M_TOTAL_INGRESOS_NO_GRAV,Delta_BI,I02_COMPRAS_NETAS_VENTAS_NETAS,DJA_COD_ACTIVIDAD_463111,DJA_COD_ACTIVIDAD_463112,DJA_COD_ACTIVIDAD_463121,DJA_COD_ACTIVIDAD_463129,DJA_COD_ACTIVIDAD_463140,DJA_COD_ACTIVIDAD_463151,DJA_COD_ACTIVIDAD_463153,DJA_COD_ACTIVIDAD_463154,DJA_COD_ACTIVIDAD_463159,DJA_COD_ACTIVIDAD_463160,DJA_COD_ACTIVIDAD_463170,DJA_COD_ACTIVIDAD_463180,DJA_COD_ACTIVIDAD_463191,DJA_COD_ACTIVIDAD_463199,DJA_COD_ACTIVIDAD_463211,DJA_COD_ACTIVIDAD_463219,DJA_COD_ACTIVIDAD_463220,DJA_COD_ACTIVIDAD_471110,DJA_COD_ACTIVIDAD_471120,DJA_COD_ACTIVIDAD_471130,DJA_COD_ACTIVIDAD_471191,DJA_COD_ACTIVIDAD_471900,DJA_COD_ACTIVIDAD_472111,DJA_COD_ACTIVIDAD_472112,DJA_COD_ACTIVIDAD_472120,DJA_COD_ACTIVIDAD_472130,DJA_COD_ACTIVIDAD_472140,DJA_COD_ACTIVIDAD_472150,DJA_COD_ACTIVIDAD_472160,DJA_COD_ACTIVIDAD_472171,DJA_COD_ACTIVIDAD_472172,DJA_COD_ACTIVIDAD_472190,DJA_COD_ACTIVIDAD_472200,DJA_COD_ACTIVIDAD_478010,DJA_TRATAMIENTO_CALCULADO_,DJA_TRATAMIENTO_CALCULADO_0,DJA_TRATAMIENTO_CALCULADO_1,DJA_TRATAMIENTO_CALCULADO_2,DJA_TRATAMIENTO_CALCULADO_3,DJA_TRATAMIENTO_CALCULADO_4,DJA_TRATAMIENTO_CALCULADO_5,DJA_TRATAMIENTO_CALCULADO_6,DJA_TRATAMIENTO_CALCULADO_8,DJA_TRATAMIENTO_DISQUETTE_,DJA_TRATAMIENTO_DISQUETTE_1,DJA_TRATAMIENTO_DISQUETTE_2,DJA_TRATAMIENTO_DISQUETTE_3,DJA_TRATAMIENTO_DISQUETTE_4,DJA_TRATAMIENTO_DISQUETTE_5,DJA_TRATAMIENTO_DISQUETTE_6,DJA_TRATAMIENTO_DISQUETTE_8,5_Cl,5_Cl_Dis,10_Cl,10_Cl_Dis,20_Cl,20_Cl_Dis
14063038,2019001012,IB,149364,-0.317695618,-0.31834498,-0.265400797,-0.260959327,-0.006457551,-0.169027194,-0.257004887,0.265070438,-0.270756483,-0.088516451,0.010452751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.872913361,6,0.745882511,13,0.145087719
14118645,2019006012,IB,542576.38,-0.168400228,-0.168177739,-0.178084075,-0.252316028,-0.006457551,-0.005633145,-0.140280694,0.255898356,-0.270756483,-0.088516451,0.01045322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.832533836,6,0.719967365,13,0.077240467
14148365,2021002012,IB,34906544.24,11.78380489,12.95537186,13.54311657,28.13140678,-0.006457551,0.117202982,6.620335102,-13.01796532,11.89225769,-0.088516451,5.218805313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,981.9324341,0,666.4193115,5,611.2785645
14148365,2021003012,IB,31791650.89,9.958498001,11.76579857,12.30795002,23.33803368,-0.006457551,0.242391676,4.175100327,-13.80028057,13.66188431,-0.088516451,8.275056839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,823.8556519,0,546.7597656,5,507.2558594
14161910,2021005012,IB,238843.48,-0.283722013,-0.284172893,-0.241742611,-0.129215851,-0.006457551,-0.169027194,-0.257004887,0.242709741,-0.270756483,-0.088516451,0.010453238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.026691437,6,0.947432518,15,0.262248039
14236490,2021002012,IB,8898964.92,3.004366636,3.02311492,3.053749323,2.341914415,-0.006457551,4.029074192,0.500816584,-1.274628758,1.260563493,-0.088516451,0.010453274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,42.90656662,3,11.49673462,10,19.65696716
14267403,2020012012,IB,721203.59,-0.100578807,-0.099960268,-0.126978889,-0.192396298,-0.006457551,-0.121553704,-0.257004887,0.30141142,-0.270756483,-0.088516451,0.010453437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.715639114,9,0.044397831,3,0.043483257
14267624,2020002012,IB,103877.86,-0.334965974,-0.335716069,-0.273853749,-0.256229997,-0.006457551,-0.161494002,-0.257004887,0.258482635,-0.270756483,-0.088516451,0.01045322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.749958515,9,0.135494232,3,0.096755028
142696,2021009012,IB,6423558.61,2.06450057,2.077760696,2.121242046,0.400747299,-0.006457551,-0.169027194,3.144932032,0.199135095,0.351338327,-0.088516451,0.010452462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,17.33647537,3,10.71837997,2,11.28370667
14398730,2021002012,IB,3147611.73,1.219047308,0.826681495,0.887164354,0.357603461,-0.006457551,1.231075168,-0.257004887,0.351133168,-0.270756483,7.325405121,-1.884079099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,17.30490112,7,50.78153992,6,16.09134674
